line_type,os_type,library_version,device_id,app_version,log_number,process_id,os_build_version,os_version,level,message,package,obj_name,thread_id,log_time,short_user_id,version,time_in_bkgd,obj_memref,file_line_index,received_time,app_id,received_date,device_id_prefix
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,local time: 2025-11-07 11:46:38 AM,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.556,0,1,INACT,0,0,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,system version: 16.7.12,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.563,0,1,INACT,0,1,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,system name: iOS,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.563,0,1,INACT,0,2,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,system build number: 20H364,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.563,0,1,INACT,0,3,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,bundle id: jp.co.aioinissaydowa.ToughMimamoruPlusS,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.564,0,1,INACT,0,4,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,app_version: 3.0.14,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.564,0,1,INACT,0,5,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,build: 122,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.564,0,1,INACT,0,6,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,filterengine version: unknown,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.564,0,1,INACT,0,7,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,library version: 13.3.1.29226 (ea8d074fa101f087),SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.564,0,1,INACT,0,8,2025-11-07 03:01:25.484,474,2025-11-07,26  
json,iOS,13.3.1.29226 (ea8d074fa101f087),26A5ADE0-A66F-4EA2-BF47-B3BC1E535EBA,3.0.14.122,1743,278,20H364,16.7.12,INFO,library linking: dynamic,SDK,CMTPersistentLog,MAIN,2025-11-07 02:46:38.565,0,1,INACT,0,9,2025-11-07 03:01:25.484,474,2025-11-07,26  
